Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"22 enero, 2026",HIELO MARMAN,XEXX010101000,BOLSAS DE HIELO,8,$20.00,$0.00,$0.00,-$160.00,Insumos Bebidas,Costo de Venta,Google Forms,,,2026-01-22 15:51
"22 enero, 2026",ROMANO,XEXX010101000,VERDURAS DEL PERSONAL,1,$730.74,$0.00,$0.00,-$730.74,Nómina,Gastos Operativos,Google Forms,,,2026-01-22 16:39
"22 enero, 2026",ROMANO,XEXX010101000,VERDURAS VARIAS,1,"$6,810.37",$0.00,$0.00,"-$6,810.37",Insumos Alimentos,Costo de Venta,Google Forms,,,2026-01-22 16:41
"22 enero, 2026",GERMINADO,XEXX010101000,GERMINADO DE SOYA,6,$55.00,$0.00,$0.00,-$330.00,Insumos Alimentos,Costo de Venta,Google Forms,,,2026-01-23 14:29
"23 enero, 2026",FABIAN ENRIQUE BOBADILLA CHAMOCHIN,BOCF810120276,LONJA DE SALMON,1.67,$305.00,$0.00,$0.00,-$509.35,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1SvMNNASl_zFMFDal1dpJDfMrceX8ea9I/view?usp=drivesdk,444A13AD-2D9D-4B85-B819-14B3BA9140F0,2026-01-23 11:34
"23 enero, 2026",FABIAN ENRIQUE BOBADILLA CHAMOCHIN,BOCF810120276,DESPENSA CASA,1.15,$305.00,$0.00,$0.00,-$350.75,Personal,Gastos Personales,Auto Gmail,https://drive.google.com/file/d/1SvMNNASl_zFMFDal1dpJDfMrceX8ea9I/view?usp=drivesdk,444A13AD-2D9D-4B85-B819-14B3BA9140F0,2026-01-23 11:34
"23 enero, 2026",FIX IT,XEXX010101000,MANTENIMIENTO EQUIPO DE COMEDOR,1,$850.00,$0.00,$0.00,-$850.00,Mantenimiento,Gastos Operativos,Google Forms,,,2026-01-23 13:15
"23 enero, 2026",AGUA 3 RÍOS,XEXX010101000,GARRAFONES DE AGUA,3,$28.00,$0.00,$0.00,-$84.00,Insumos Bebidas,Costo de Venta,Google Forms,,,2026-01-23 14:28
"23 enero, 2026",NATIONAL SOFT DE MEXICO,NSM011206JX2,SOFT RESTAURANT®10 LITE RENTA ANUAL 2 NODOS INCLUIDOS.,1,"$7,689.00",$0.00,"$1,230.24","-$8,919.24",Licencias,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/19bsnLVbqkQcq6XezsmyreSoeFNS-jwis/view?usp=drivesdk,53D25CA6-A029-4FA3-92FA-550474CB0E0D,2026-01-23 15:34
"23 enero, 2026",NATIONAL SOFT DE MEXICO,NSM011206JX2,SERVICIO DE ACTUALIZACIÓN DE SOFT RESTAURANT A VERSIÓN COMERCIALIZABLE EN LÍNEA,1,"$1,500.00",$0.00,$240.00,"-$1,740.00",Licencias,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/19bsnLVbqkQcq6XezsmyreSoeFNS-jwis/view?usp=drivesdk,53D25CA6-A029-4FA3-92FA-550474CB0E0D,2026-01-23 15:34
